Date;Price;Open;High;Low;Change;Dieselgate;COVID19;log_return;DAX;Company
02/01/2010;65,9;63,3;66,21;63,01;4,14%;0;0;;6.048,30;VW
03/01/2010;64,27;64,02;64,6;63,66;1,16%;0;0;-0,025045482;6.031,86;VW
04/01/2010;71,6;71,33;71,89;71,01;0,14%;0;0;0,108002115;6.034,33;VW
06/01/2010;69,3;70,22;70,22;69,01;-1,21%;0;0;-0,032650168;6.019,36;VW
07/01/2010;68,73;69,38;69,8;68,32;-1,76%;0;0;-0,008259121;6.037,61;VW
09/01/2010;73,36;72;73,36;71,26;2,24%;0;0;0,065193043;6.040,50;VW
10/01/2010;78,56;81,49;81,49;78,56;-2,81%;0;0;0,068483836;5.943,00;VW
11/01/2010;93,84;95,03;95,99;92,35;-0,55%;0;0;0,17772854;5.963,14;VW
12/01/2010;108,8;105,1;109,78;105,1;4,51%;0;0;0,14792013;5.988,88;VW
13/01/2010;74,04;74,11;74,85;73,6;0,04%;0;0;-0,384905847;5.875,97;VW
14/01/2010;73,5;74,95;75,28;72,91;-0,73%;0;0;-0,007320081;5.918,55;VW
15/01/2010;72,64;73,99;73,99;72;-1,17%;0;0;-0,011769672;5.976,48;VW
18/01/2010;72,55;72,9;73,28;72;-0,12%;0;0;-0,001239755;5.851,53;VW
19/01/2010;72,81;72,76;73,15;71,1;0,36%;0;0;0,003577329;5.746,97;VW
20/01/2010;71,94;73,06;73,58;71,24;-1,19%;0;0;-0,01202087;5.695,32;VW
21/01/2010;71,11;72,55;72,65;71,01;-1,15%;0;0;-0,011604464;5.631,37;VW
22/01/2010;69,55;70,75;71,97;69,55;-2,19%;0;0;-0,022182056;5.668,93;VW
25/01/2010;68,2;69,44;70,32;68,11;-1,94%;0;0;-0,019601354;5.643,20;VW
26/01/2010;67,9;68;68,75;67,03;-0,44%;0;0;-0,00440853;5.540,33;VW
27/01/2010;66,26;67,69;67,78;66,07;-2,42%;0;0;-0,024449638;5.608,79;VW
28/01/2010;64,03;67,13;67,49;64,03;-3,37%;0;0;-0,034234673;5.654,48;VW
29/01/2010;63,28;64,9;65,49;62,8;-1,17%;0;0;-0,0117824;5.709,66;VW
02/02/2010;66,69;66,15;67,28;65,35;1,20%;0;0;0,052485693;5.672,09;VW
03/02/2010;65,64;64,1;65,64;64,1;2,13%;0;0;-0,01586975;5.533,24;VW
06/02/2010;68,5;68,86;69,69;68,3;-1,15%;0;0;0,042648479;5.434,34;VW
07/02/2010;68,28;69,5;69,5;68,01;-0,65%;0;0;-0,003216847;5.484,85;VW
08/02/2010;73,15;73,04;73,58;72,09;0,59%;0;0;0,06889523;5.498,26;VW
09/02/2010;73,75;73,5;74,28;72,87;0,53%;0;0;0,008168868;5.536,37;VW
11/02/2010;94,3;93,84;94,96;93,24;0,49%;0;0;0,245800194;5.503,93;VW
12/02/2010;112,9;110,7;114,6;110,7;3,77%;0;0;0,180021282;5.500,39;VW
15/02/2010;62,58;62,5;63,15;62,13;0,45%;0;0;-0,590056733;5.511,10;VW
16/02/2010;63,39;63;63,62;62,27;1,29%;0;0;0,012860382;5.592,12;VW
17/02/2010;64,58;64,37;65,24;63,91;1,88%;0;0;0,018598645;5.648,34;VW
18/02/2010;63,97;64,48;65,3;63,16;-0,94%;0;0;-0,009490542;5.680,41;VW
19/02/2010;63,16;63,88;64,82;63,12;-1,27%;0;0;-0,012743034;5.722,05;VW
22/02/2010;65,03;63,57;65,81;63,55;2,96%;0;0;0,029177512;5.688,44;VW
23/02/2010;64,31;65,3;66,59;64;-1,11%;0;0;-0,011133562;5.604,07;VW
24/02/2010;65,2;65,17;65,74;64,12;1,38%;0;0;0,013744329;5.615,51;VW
25/02/2010;64,06;65,29;65,8;63,97;-1,75%;0;0;-0,017639325;5.532,33;VW
26/02/2010;63,53;64,17;64,71;63,11;-0,83%;0;0;-0,008307909;5.598,46;VW
02/03/2010;68;67,41;69,84;67,11;1,96%;0;0;0,06799547;5.713,51;VW
03/03/2010;66,84;65,47;67,1;65,19;1,83%;0;0;-0,017206001;5.776,56;VW
05/03/2010;70,4;71,69;71,69;69,45;-0,73%;0;0;0,051891559;5.817,88;VW
06/03/2010;69,45;69,4;69,74;68,5;1,39%;0;0;-0,013586194;5.795,32;VW
08/03/2010;72,63;73,2;73,95;72,37;-0,71%;0;0;0,04477099;5.877,36;VW
09/03/2010;73,51;74,3;74,48;73,48;-0,33%;0;0;0,012043392;5.875,91;VW
11/03/2010;95,01;95;97,65;94,6;0,75%;0;0;0,256560698;5.885,89;VW
12/03/2010;114,8;113,65;115,88;113,43;1,68%;0;0;0,189209335;5.936,72;VW
15/03/2010;73,72;74,8;74,88;73,51;-0,95%;0;0;-0,442917351;5.928,63;VW
16/03/2010;75,5;74,84;75,74;74,28;2,41%;0;0;0,023858523;5.945,11;VW
17/03/2010;75,49;76,34;76,7;75,11;-0,01%;0;0;-0,000132459;5.903,56;VW
18/03/2010;74,77;75,87;75,88;74,67;-0,95%;0;0;-0,009583462;5.970,99;VW
19/03/2010;75,11;75,14;76,25;75,05;0,45%;0;0;0,004536971;6.024,28;VW
22/03/2010;75,71;75,2;76;74,84;0,80%;0;0;0,007956546;6.012,31;VW
23/03/2010;72,36;75,5;75,97;71,28;-4,42%;0;0;-0,045256592;5.982,43;VW
24/03/2010;71,15;72,37;72,92;70,87;-1,67%;0;0;-0,016863336;5.987,50;VW
25/03/2010;70,28;71,5;71,69;69,6;-1,22%;0;0;-0,012303061;6.017,27;VW
26/03/2010;72,56;71,23;73,25;70,41;3,24%;0;0;0,031926542;6.039,00;VW
29/03/2010;71,93;72,96;72,96;71,93;-0,87%;0;0;-0,008720382;6.132,95;VW
30/03/2010;70,59;72,9;72,9;70,02;-1,86%;0;0;-0,018804932;6.120,05;VW
31/03/2010;71,5;70,83;71,86;70,4;1,29%;0;0;0,012808958;6.156,85;VW
01/04/2010;73,75;77,75;77,9;72,05;-4,22%;0;0;0,030983546;6.142,45;VW
